wt_rep1	wt_rep2	wt_rep3	wt_rep4	KO_rep1	KO_rep2	KO_rep3	KO_rep4	gene
130	157	135	140	58	75	83	76	0610009B22Rik_ENSMUSG00000007777
246	268	257	255	144	187	171	157	0610010F05Rik_ENSMUSG00000042208
1011	873	801	785	438	455	483	427	0610010K14Rik_ENSMUSG00000020831
527	495	550	589	1051	1156	1176	1084	0610030E20Rik_ENSMUSG00000058706
0	0	1	0	0	0	0	0	0610040J01Rik_ENSMUSG00000060512
1321	1351	1243	1290	701	782	707	727	1110004F10Rik_ENSMUSG00000030663
592	526	538	504	176	220	233	182	1110008P14Rik_ENSMUSG00000039195
118	86	71	84	118	121	117	111	1110012L19Rik_ENSMUSG00000045237
3	2	5	1	4	7	1	14	1110017D15Rik_ENSMUSG00000028441
0	0	0	0	0	0	0	0	1110025L11Rik_ENSMUSG00000068073
83	54	62	71	80	97	87	88	1110032A03Rik_ENSMUSG00000037971
0	0	0	0	0	0	0	0	1110032F04Rik_ENSMUSG00000046999
644	632	578	494	249	295	299	286	1110038F14Rik_ENSMUSG00000063236
219	229	209	227	107	141	120	127	1110051M20Rik_ENSMUSG00000040591
348	374	305	250	90	105	122	93	1110059E24Rik_ENSMUSG00000035171
170	162	159	150	128	155	148	122	1110059G10Rik_ENSMUSG00000032551
409	338	343	307	130	142	146	132	1110065P20Rik_ENSMUSG00000078570
1	7	4	3	4	2	3	2	1190005I06Rik_ENSMUSG00000043687
359	377	324	323	47	41	42	45	1190007I07Rik_ENSMUSG00000063320
9	7	12	11	10	18	23	13	1300017J02Rik_ENSMUSG00000033688
0	0	0	0	0	0	0	0	1500009L16Rik_ENSMUSG00000087651
34	20	26	35	7	9	13	5	1500011B03Rik_ENSMUSG00000072694
58	52	51	64	135	153	145	135	1600012H06Rik_ENSMUSG00000050088
31	43	42	22	11	10	10	7	1600014C23Rik_ENSMUSG00000094690
0	0	0	0	0	0	1	0	1700001C19Rik_ENSMUSG00000047150
0	0	0	0	0	0	0	0	1700001F09Rik_ENSMUSG00000095384
0	0	0	1	3	4	4	4	1700001J03Rik_ENSMUSG00000095040
0	0	0	0	0	0	0	0	1700001K19Rik_ENSMUSG00000056508
0	2	2	2	0	0	0	0	1700001L19Rik_ENSMUSG00000021534
6	13	5	5	7	7	4	2	1700001O22Rik_ENSMUSG00000044320
2	4	5	2	1	1	0	3	1700001P01Rik_ENSMUSG00000018543
3	7	3	1	2	4	2	2	1700003E16Rik_ENSMUSG00000030030
1	1	0	0	4	3	0	5	1700003F12Rik_ENSMUSG00000038523
0	0	0	0	0	0	0	0	1700006A11Rik_ENSMUSG00000027973
0	1	0	0	0	0	0	0	1700007K13Rik_ENSMUSG00000026831
5	3	11	4	1	5	7	5	1700008O03Rik_ENSMUSG00000008028
0	0	0	0	0	0	0	0	1700008P02Rik_ENSMUSG00000069118
0	0	0	0	0	0	0	0	1700009N14Rik_ENSMUSG00000028287
0	0	0	0	0	0	0	0	1700010B08Rik_ENSMUSG00000057047
7	2	3	5	1	1	1	0	1700010I14Rik_ENSMUSG00000023873
0	0	0	0	0	0	0	0	1700011L22Rik_ENSMUSG00000031682
0	0	0	0	0	0	0	0	1700012A03Rik_ENSMUSG00000029766
1	2	2	0	0	0	1	0	1700012B07Rik_ENSMUSG00000020617
0	0	0	0	0	0	0	0	1700012B09Rik_ENSMUSG00000031927
0	0	0	0	0	0	0	0	1700012P22Rik_ENSMUSG00000028589
0	0	2	0	0	0	0	0	1700013F07Rik_ENSMUSG00000027886
0	0	0	0	0	0	0	0	1700013G24Rik_ENSMUSG00000041399
0	0	0	0	0	0	0	0	1700013H16Rik_ENSMUSG00000054727
0	0	0	0	0	0	1	0	1700015F17Rik_ENSMUSG00000079666
0	0	0	0	0	0	0	0	1700015G11Rik_ENSMUSG00000094445
0	0	0	0	0	0	0	0	1700016C15Rik_ENSMUSG00000015962
1	0	0	0	0	0	0	0	1700016D06Rik_ENSMUSG00000031509
7	4	3	2	0	1	0	3	1700016H13Rik_ENSMUSG00000029320
1	0	0	0	0	0	1	0	1700016K19Rik_ENSMUSG00000053783
1797	1601	1708	1949	1050	1234	1208	1195	1700017B05Rik_ENSMUSG00000032300
0	0	0	0	0	0	0	0	1700017N19Rik_ENSMUSG00000056912
0	2	0	1	0	0	0	0	1700018B08Rik_ENSMUSG00000031809
0	0	0	0	0	0	0	0	1700018F24Rik_ENSMUSG00000029620
0	0	0	0	0	0	0	0	1700019A02Rik_ENSMUSG00000060715
0	1	0	0	0	0	0	0	1700019D03Rik_ENSMUSG00000043629
0	0	0	0	0	0	0	0	1700019N19Rik_ENSMUSG00000026931
0	0	0	0	0	0	0	0	1700020A23Rik_ENSMUSG00000027409
4	4	9	8	81	91	101	100	1700020D05Rik_ENSMUSG00000100937
1	3	2	3	0	2	1	0	1700020L24Rik_ENSMUSG00000035085
0	0	0	0	0	0	0	0	1700020N15Rik_ENSMUSG00000059690
0	0	0	0	0	0	0	0	1700021F07Rik_ENSMUSG00000027518
0	0	0	0	0	0	0	0	1700022I11Rik_ENSMUSG00000028451
0	0	0	0	0	0	0	0	1700024G13Rik_ENSMUSG00000072473
110	99	122	111	97	106	97	94	1700025G04Rik_ENSMUSG00000032666
0	0	0	0	0	0	0	0	1700028K03Rik_ENSMUSG00000089798
0	0	0	0	0	0	0	0	1700028P14Rik_ENSMUSG00000033053
0	0	0	0	0	0	2	0	1700029F12Rik_ENSMUSG00000052075
2	0	0	1	2	0	0	0	1700029H14Rik_ENSMUSG00000031452
16	7	11	3	13	10	14	12	1700029I15Rik_ENSMUSG00000044916
9	6	10	12	52	58	85	58	1700029J07Rik_ENSMUSG00000071103
2	1	0	0	0	0	2	0	1700029P11Rik_ENSMUSG00000061633
1	3	0	1	8	13	11	15	1700030J22Rik_ENSMUSG00000031847
186	220	177	191	122	119	147	137	1700030K09Rik_ENSMUSG00000052794
2	2	0	2	4	6	5	2	1700031F05Rik_ENSMUSG00000032894
0	0	0	0	0	0	0	0	1700034E13Rik_ENSMUSG00000024532
0	0	0	0	0	0	0	0	1700034J05Rik_ENSMUSG00000040163
59	68	40	42	8	9	9	12	1700037C18Rik_ENSMUSG00000005983
1153	1112	1028	1017	1709	1851	1740	1622	1700037H04Rik_ENSMUSG00000027327
0	0	0	0	0	0	0	0	1700042G07Rik_ENSMUSG00000078593
16	9	9	13	20	21	26	28	1700056E22Rik_ENSMUSG00000044854
0	0	5	0	1	3	2	0	1700057G04Rik_ENSMUSG00000074139
5	3	4	0	0	0	2	1	1700066B19Rik_ENSMUSG00000073598
129	116	112	116	88	94	89	84	1700066M21Rik_ENSMUSG00000038323
0	0	0	0	0	0	0	0	1700074P13Rik_ENSMUSG00000029883
0	0	0	0	0	0	0	0	1700080O16Rik_ENSMUSG00000031118
14	16	12	14	19	20	16	29	1700088E04Rik_ENSMUSG00000033029
23	16	20	21	3	2	1	3	1700092M07Rik_ENSMUSG00000090840
0	0	0	0	1	2	0	0	1700093K21Rik_ENSMUSG00000020286
149	171	146	159	133	187	160	151	1700094D03Rik_ENSMUSG00000118506
7	14	14	8	3	5	8	4	1700102P08Rik_ENSMUSG00000032611
12	21	13	14	27	39	31	39	1700109H08Rik_ENSMUSG00000008307
0	0	0	0	0	0	0	0	1700113H08Rik_ENSMUSG00000047129
0	0	0	0	0	0	0	0	1700122O11Rik_ENSMUSG00000094928
0	0	0	1	0	0	0	0	1700123K08Rik_ENSMUSG00000029526
540	528	504	493	209	249	229	209	1700123O20Rik_ENSMUSG00000040822
0	0	1	0	0	1	0	1	1700125H20Rik_ENSMUSG00000018479
0	0	0	0	0	0	0	0	1700129C05Rik_ENSMUSG00000021977
0	1	0	0	0	0	0	0	1810009A15Rik_ENSMUSG00000071653
0	0	0	0	0	0	0	0	1810009J06Rik_ENSMUSG00000094808
16	13	14	9	57	57	67	52	1810010H24Rik_ENSMUSG00000078607
575	572	644	653	1285	1383	1316	1257	1810013L24Rik_ENSMUSG00000022507
6	1	10	4	8	1	2	5	1810024B03Rik_ENSMUSG00000044145
1082	1086	1045	1072	611	705	645	650	1810030O07Rik_ENSMUSG00000044148
565	540	493	432	272	304	313	282	1810037I17Rik_ENSMUSG00000054091
0	0	0	0	0	0	0	0	1810046K07Rik_ENSMUSG00000036027
487	475	530	502	158	181	130	155	1810055G02Rik_ENSMUSG00000035372
23	26	17	29	12	6	11	11	1810062G17Rik_ENSMUSG00000027713
0	0	0	0	0	0	0	0	1810065E05Rik_ENSMUSG00000013653
1	1	1	0	0	0	0	0	2010003K11Rik_ENSMUSG00000042041
0	0	0	0	0	0	0	0	2010106E10Rik_ENSMUSG00000025528
0	0	0	0	0	0	0	1	2010109A12Rik_ENSMUSG00000029384
3	6	4	4	0	1	0	2	2010300C02Rik_ENSMUSG00000026090
29	19	20	24	73	105	85	63	2010315B03Rik_ENSMUSG00000074829
0	0	0	1	0	0	0	0	2200002D01Rik_ENSMUSG00000030587
1	0	2	0	1	0	2	0	2200002J24Rik_ENSMUSG00000013083
0	0	0	0	0	0	0	0	2210010C04Rik_ENSMUSG00000029882
10	6	4	4	1	2	4	2	2210016F16Rik_ENSMUSG00000021550
565	585	527	498	323	386	380	334	2210016L21Rik_ENSMUSG00000029559
0	0	0	0	0	0	0	0	2210407C18Rik_ENSMUSG00000037145
63	71	70	65	37	38	37	23	2210408I21Rik_ENSMUSG00000071252
1	0	3	2	2	2	0	0	2210418O10Rik_ENSMUSG00000078894
0	0	0	0	0	0	0	0	2300002M23Rik_ENSMUSG00000039269
0	0	0	0	0	0	0	0	2300003K06Rik_ENSMUSG00000078257
134	103	96	99	54	68	55	57	2300009A05Rik_ENSMUSG00000032403
0	0	0	0	0	0	0	0	2310002L09Rik_ENSMUSG00000028396
92	74	77	51	46	49	35	60	2310009B15Rik_ENSMUSG00000079283
1273	1249	1105	1055	443	495	498	498	2310011J03Rik_ENSMUSG00000020133
710	723	733	791	282	343	320	271	2310022A10Rik_ENSMUSG00000049643
961	883	967	945	1937	2225	2145	2008	2310022B05Rik_ENSMUSG00000031983
0	0	0	0	0	0	0	1	2310030G06Rik_ENSMUSG00000032062
548	473	461	409	214	233	198	232	2310033P09Rik_ENSMUSG00000020441
0	0	0	0	0	0	0	0	2310034C09Rik_ENSMUSG00000068078
549	495	432	393	223	241	232	201	2310039H08Rik_ENSMUSG00000062619
0	0	0	0	0	0	0	0	2310050C09Rik_ENSMUSG00000090314
0	0	0	0	0	0	0	0	2310057J18Rik_ENSMUSG00000015519
317	269	310	282	124	170	148	127	2310057M21Rik_ENSMUSG00000040177
0	0	0	0	0	0	0	0	2310057N15Rik_ENSMUSG00000048830
773	764	734	666	273	283	245	276	2310061I04Rik_ENSMUSG00000050705
0	0	0	0	0	0	0	0	2310061N02Rik_ENSMUSG00000050704
0	0	0	0	0	0	0	0	2310079G19Rik_ENSMUSG00000045331
1552	1416	1590	1628	273	294	311	281	2410002F23Rik_ENSMUSG00000045411
534	450	463	474	170	138	158	145	2410004B18Rik_ENSMUSG00000036873
0	0	0	0	1	0	0	0	2410004P03Rik_ENSMUSG00000071398
197	177	200	234	39	40	46	28	2410131K14Rik_ENSMUSG00000032840
1	0	0	0	0	0	0	0	2410137M14Rik_ENSMUSG00000064308
0	0	0	0	0	0	0	0	2410141K09Rik_ENSMUSG00000074832
165	190	169	128	188	231	220	243	2510002D24Rik_ENSMUSG00000071632
0	0	0	0	0	0	0	0	2510009E07Rik_ENSMUSG00000043391
1191	1131	1185	1198	1098	1216	1168	1107	2510039O18Rik_ENSMUSG00000044496
685	754	675	702	627	676	686	667	2610002M06Rik_ENSMUSG00000031242
69	84	70	76	139	161	185	141	2610008E11Rik_ENSMUSG00000060301
2	0	0	0	0	1	0	0	2610028H24Rik_ENSMUSG00000009114
0	0	0	0	0	0	0	0	2610042L04Rik_ENSMUSG00000079388
53	68	62	45	38	50	52	39	2610044O15Rik8_ENSMUSG00000071302
201	168	165	217	206	238	255	185	2610301B20Rik_ENSMUSG00000059482
478	503	376	398	10	18	17	24	2610318N02Rik_ENSMUSG00000049916
4268	4343	5315	6149	2809	3116	3221	3139	2610507B11Rik_ENSMUSG00000010277
1	0	0	3	0	2	1	3	2610528A11Rik_ENSMUSG00000096001
0	0	0	0	0	0	0	1	2610528J11Rik_ENSMUSG00000028536
337	292	338	364	428	449	460	453	2700049A03Rik_ENSMUSG00000034601
338	367	311	333	140	132	151	120	2700062C07Rik_ENSMUSG00000024273
463	427	456	519	357	364	411	373	2700081O15Rik_ENSMUSG00000053080
150	172	133	111	118	128	112	103	2700097O09Rik_ENSMUSG00000062198
1493	1565	1510	1532	220	233	223	202	2810004N23Rik_ENSMUSG00000031984
192	196	175	163	42	44	52	42	2810006K23Rik_ENSMUSG00000047635
189	136	180	178	110	115	108	114	2810021J22Rik_ENSMUSG00000020491
12	15	12	15	16	12	8	13	2810408A11Rik_ENSMUSG00000018570
